time,gender,earnings_biannual,state
May-2012,M,1217.40,VIC
Nov-2012,M,1231.10,VIC
May-2013,M,1267.80,VIC
Nov-2013,M,1287.80,VIC
May-2014,M,1279.30,VIC
Nov-2014,M,1276.40,VIC
May-2015,M,1274.20,VIC
Nov-2015,M,1284.80,VIC
May-2016,M,1304.10,VIC
Nov-2016,M,1324.10,VIC
May-2017,M,1338.70,VIC
Nov-2017,M,1353.30,VIC
May-2018,M,1383.90,VIC
Nov-2018,M,1400.50,VIC
May-2019,M,1415.10,VIC
Nov-2019,M,1447.60,VIC
May-2020,M,1491.80,VIC
Nov-2020,M,1502.40,VIC
May-2021,M,1513.80,VIC
Nov-2021,M,1545.60,VIC
May-2022,M,1548.40,VIC
Nov-2022,M,1564.80,VIC
May-2023,M,1605.80,VIC
Nov-2023,M,1625.80,VIC
May-2012,F,789.90,VIC
Nov-2012,F,813.60,VIC
May-2013,F,821.60,VIC
Nov-2013,F,828.50,VIC
May-2014,F,840.30,VIC
Nov-2014,F,845.60,VIC
May-2015,F,859.30,VIC
Nov-2015,F,873.60,VIC
May-2016,F,884.00,VIC
Nov-2016,F,900.90,VIC
May-2017,F,920.70,VIC
Nov-2017,F,945.50,VIC
May-2018,F,954.90,VIC
Nov-2018,F,976.90,VIC
May-2019,F,1003.00,VIC
Nov-2019,F,1015.40,VIC
May-2020,F,1030.50,VIC
Nov-2020,F,1050.40,VIC
May-2021,F,1044.40,VIC
Nov-2021,F,1061.20,VIC
May-2022,F,1076.00,VIC
Nov-2022,F,1117.70,VIC
May-2023,F,1161.60,VIC
Nov-2023,F,1199.40,VIC
May-2012,M,1259.90,NSW
Nov-2012,M,1304.40,NSW
May-2013,M,1314.90,NSW
Nov-2013,M,1313.30,NSW
May-2014,M,1330.10,NSW
Nov-2014,M,1364.70,NSW
May-2015,M,1381.40,NSW
Nov-2015,M,1398.80,NSW
May-2016,M,1417.80,NSW
Nov-2016,M,1423.90,NSW
May-2017,M,1433.40,NSW
Nov-2017,M,1451.30,NSW
May-2018,M,1454.50,NSW
Nov-2018,M,1485.70,NSW
May-2019,M,1520.20,NSW
Nov-2019,M,1537.80,NSW
May-2020,M,1563.50,NSW
Nov-2020,M,1566.80,NSW
May-2021,M,1579.00,NSW
Nov-2021,M,1578.60,NSW
May-2022,M,1582.20,NSW
Nov-2022,M,1609.50,NSW
May-2023,M,1633.40,NSW
Nov-2023,M,1674.40,NSW
May-2012,F,842.50,NSW
Nov-2012,F,861.60,NSW
May-2013,F,886.90,NSW
Nov-2013,F,909.30,NSW
May-2014,F,907.00,NSW
Nov-2014,F,907.00,NSW
May-2015,F,927.70,NSW
Nov-2015,F,952.30,NSW
May-2016,F,969.70,NSW
Nov-2016,F,971.50,NSW
May-2017,F,986.00,NSW
Nov-2017,F,1007.30,NSW
May-2018,F,1033.20,NSW
Nov-2018,F,1048.30,NSW
May-2019,F,1055.30,NSW
Nov-2019,F,1061.00,NSW
May-2020,F,1076.20,NSW
Nov-2020,F,1084.50,NSW
May-2021,F,1106.40,NSW
Nov-2021,F,1143.90,NSW
May-2022,F,1159.60,NSW
Nov-2022,F,1173.10,NSW
May-2023,F,1184.30,NSW
Nov-2023,F,1221.60,NSW
May-2012,M,1279.70,QLD
Nov-2012,M,1326.50,QLD
May-2013,M,1362.10,QLD
Nov-2013,M,1350.00,QLD
May-2014,M,1363.10,QLD
Nov-2014,M,1334.70,QLD
May-2015,M,1317.60,QLD
Nov-2015,M,1333.30,QLD
May-2016,M,1352.80,QLD
Nov-2016,M,1358.30,QLD
May-2017,M,1384.50,QLD
Nov-2017,M,1407.00,QLD
May-2018,M,1439.60,QLD
Nov-2018,M,1452.00,QLD
May-2019,M,1439.80,QLD
Nov-2019,M,1472.20,QLD
May-2020,M,1490.60,QLD
Nov-2020,M,1482.70,QLD
May-2021,M,1507.00,QLD
Nov-2021,M,1549.70,QLD
May-2022,M,1584.10,QLD
Nov-2022,M,1616.00,QLD
May-2023,M,1626.30,QLD
Nov-2023,M,1639.20,QLD
May-2012,F,808.90,QLD
Nov-2012,F,812.50,QLD
May-2013,F,809.40,QLD
Nov-2013,F,822.90,QLD
May-2014,F,845.20,QLD
Nov-2014,F,870.10,QLD
May-2015,F,896.30,QLD
Nov-2015,F,896.30,QLD
