iso,date,people_vaccinated,people_fully_vaccinated,total_boosters
FRA,12/27/2020,616,0,0
FRA,12/28/2020,1326,1,0
FRA,12/29/2020,1716,1,0
FRA,12/30/2020,2172,1,0
FRA,12/31/2020,2623,2,0
FRA,1/1/2021,3822,4,0
FRA,1/2/2021,4192,8,0
FRA,1/3/2021,4611,8,0
FRA,1/4/2021,6763,13,0
FRA,1/5/2021,14557,19,0
FRA,1/6/2021,27048,42,0
FRA,1/7/2021,56529,67,0
FRA,1/8/2021,93699,103,0
FRA,1/9/2021,104920,112,0
FRA,1/10/2021,110937,120,0
FRA,1/11/2021,150893,159,0
FRA,1/12/2021,213059,190,0
FRA,1/13/2021,278209,253,0
FRA,1/14/2021,361318,516,0
FRA,1/15/2021,430358,619,1
FRA,1/16/2021,450577,692,1
FRA,1/17/2021,461570,746,1
FRA,1/18/2021,547494,925,1
FRA,1/19/2021,678110,1136,1
FRA,1/20/2021,815688,1333,1
FRA,1/21/2021,974123,1538,1
FRA,1/22/2021,1095214,1797,1
FRA,1/23/2021,1133708,1883,1
FRA,1/24/2021,1143460,2014,1
FRA,1/25/2021,1221717,3472,1
FRA,1/26/2021,1322118,7185,2
FRA,1/27/2021,1429384,13632,2
FRA,1/28/2021,1553768,30060,2
FRA,1/29/2021,1645979,48869,2
FRA,1/30/2021,1675107,53410,2
FRA,1/31/2021,1680348,55310,2
FRA,2/1/2021,1733508,78397,2
FRA,2/2/2021,1805847,116624,2
FRA,2/3/2021,1878176,156945,2
FRA,2/4/2021,1960276,212117,2
FRA,2/5/2021,2028528,260379,2
FRA,2/6/2021,2051476,271813,2
FRA,2/7/2021,2056671,277901,2
FRA,2/8/2021,2103528,326731,2
FRA,2/9/2021,2169579,405244,2
FRA,2/10/2021,2240628,488816,2
FRA,2/11/2021,2327937,594602,2
FRA,2/12/2021,2407295,670706,2
FRA,2/13/2021,2429686,690237,2
FRA,2/14/2021,2434766,697562,2
FRA,2/15/2021,2472898,774362,2
FRA,2/16/2021,2523318,874039,2
FRA,2/17/2021,2573879,980992,22
FRA,2/18/2021,2643693,1104790,22
FRA,2/19/2021,2708786,1197127,23
FRA,2/20/2021,2727388,1225670,23
FRA,2/21/2021,2730723,1231708,23
FRA,2/22/2021,2768235,1304864,25
FRA,2/23/2021,2822037,1390192,26
FRA,2/24/2021,2882076,1473151,27
FRA,2/25/2021,2982690,1564348,28
FRA,2/26/2021,3096182,1635099,29
FRA,2/27/2021,3148313,1657539,30
FRA,2/28/2021,3154522,1661643,32
FRA,3/1/2021,3220468,1715718,33
FRA,3/2/2021,3321885,1782900,36
FRA,3/3/2021,3438452,1848384,36
FRA,3/4/2021,3602116,1921033,39
FRA,3/5/2021,3803078,1983735,42
FRA,3/6/2021,4011073,2001213,45
FRA,3/7/2021,4132366,2005176,46
FRA,3/8/2021,4239546,2054718,48
FRA,3/9/2021,4412035,2110744,50
FRA,3/10/2021,4591079,2167805,55
FRA,3/11/2021,4834013,2231849,57
FRA,3/12/2021,5128889,2285209,58
FRA,3/13/2021,5360333,2300472,59
FRA,3/14/2021,5423698,2303504,60
FRA,3/15/2021,5582399,2334987,63
FRA,3/16/2021,5723998,2373801,69
FRA,3/17/2021,5874517,2411382,73
FRA,3/18/2021,6042390,2455703,78
FRA,3/19/2021,6272447,2492449,80
FRA,3/20/2021,6439168,2503833,81
FRA,3/21/2021,6489128,2505961,82
FRA,3/22/2021,6659213,2539493,84
FRA,3/23/2021,6909655,2581855,85
FRA,3/24/2021,7166608,2625451,85
FRA,3/25/2021,7508485,2670743,90
FRA,3/26/2021,7867336,2712532,96
FRA,3/27/2021,8062633,2729486,97
FRA,3/28/2021,8121994,2734073,100
FRA,3/29/2021,8325022,2787462,104
FRA,3/30/2021,8610572,2857503,109
FRA,3/31/2021,8873655,2931565,113
FRA,4/1/2021,9189241,3024392,124
FRA,4/2/2021,9470626,3119210,131
FRA,4/3/2021,9611723,3181831,137
FRA,4/4/2021,9658275,3200853,139
FRA,4/5/2021,9721648,3211255,150
FRA,4/6/2021,9938924,3324412,167
FRA,4/7/2021,10199249,3439704,184
FRA,4/8/2021,10537166,3562936,199
FRA,4/9/2021,10947411,3679818,249
FRA,4/10/2021,11160077,3762696,264
FRA,4/11/2021,11216239,3796875,271
FRA,4/12/2021,11453369,3912706,317
FRA,4/13/2021,11762927,4056856,416
FRA,4/14/2021,12057536,4196723,631
FRA,4/15/2021,12394741,4347279,971
FRA,4/16/2021,12734103,4494321,1325
FRA,4/17/2021,12922792,4584304,1434
FRA,4/18/2021,12974437,4619763,1482
FRA,4/19/2021,13180189,4758067,1939
FRA,4/20/2021,13434686,4930119,2508
FRA,4/21/2021,13688033,5100367,3345
FRA,4/22/2021,13975668,5290836,4165
FRA,4/23/2021,14273352,5479243,4912
FRA,4/24/2021,14463835,5592871,5165
FRA,4/25/2021,14533415,5631856,5216
FRA,4/26/2021,14754422,5793435,5781
FRA,4/27/2021,15039080,5991024,6725
FRA,4/28/2021,15338678,6185663,8159
FRA,4/29/2021,15695898,6399986,9448
FRA,4/30/2021,16068169,6605366,10583
FRA,5/1/2021,16235849,6659892,10768
FRA,5/2/2021,16327620,6698245,10851
FRA,5/3/2021,16616608,6868402,11696
FRA,5/4/2021,16932369,7102447,12944
FRA,5/5/2021,17259692,7335325,14267
FRA,5/6/2021,17639350,7588003,15912
FRA,5/7/2021,18012188,7866043,17146
