iso,vaccine,date,total_vaccinations
ARG,Oxford/AstraZeneca,12/29/2020,1
ARG,Sinopharm/Beijing,12/29/2020,1
ARG,Sputnik V,12/29/2020,20492
ARG,Sputnik V,12/30/2020,40594
ARG,Sputnik V,12/31/2020,43400
ARG,Oxford/AstraZeneca,1/1/2021,3
ARG,Sputnik V,1/1/2021,43527
ARG,Oxford/AstraZeneca,1/2/2021,4
ARG,Pfizer/BioNTech,1/2/2021,1
ARG,Sputnik V,1/2/2021,46837
ARG,Pfizer/BioNTech,1/3/2021,3
ARG,Sputnik V,1/3/2021,47281
ARG,Sputnik V,1/4/2021,57744
ARG,Sinopharm/Beijing,1/5/2021,5
ARG,Sputnik V,1/5/2021,68471
ARG,Oxford/AstraZeneca,1/6/2021,5
ARG,Pfizer/BioNTech,1/6/2021,6
ARG,Sinopharm/Beijing,1/6/2021,8
ARG,Sputnik V,1/6/2021,78584
ARG,Oxford/AstraZeneca,1/7/2021,9
ARG,Pfizer/BioNTech,1/7/2021,8
ARG,Sinopharm/Beijing,1/7/2021,10
ARG,Sputnik V,1/7/2021,96809
ARG,Oxford/AstraZeneca,1/8/2021,10
ARG,Sputnik V,1/8/2021,124702
ARG,Oxford/AstraZeneca,1/9/2021,11
ARG,Pfizer/BioNTech,1/9/2021,9
ARG,Sinopharm/Beijing,1/9/2021,11
ARG,Sputnik V,1/9/2021,134909
ARG,Pfizer/BioNTech,1/10/2021,12
ARG,Sinopharm/Beijing,1/10/2021,12
ARG,Sputnik V,1/10/2021,136084
ARG,Oxford/AstraZeneca,1/11/2021,12
ARG,Sinopharm/Beijing,1/11/2021,14
ARG,Sputnik V,1/11/2021,155912
ARG,Oxford/AstraZeneca,1/12/2021,14
ARG,Pfizer/BioNTech,1/12/2021,13
ARG,Sinopharm/Beijing,1/12/2021,17
ARG,Sputnik V,1/12/2021,175303
ARG,Moderna,1/13/2021,1
ARG,Oxford/AstraZeneca,1/13/2021,15
ARG,Sinopharm/Beijing,1/13/2021,21
ARG,Sputnik V,1/13/2021,192075
ARG,Pfizer/BioNTech,1/14/2021,14
ARG,Sinopharm/Beijing,1/14/2021,22
ARG,Sputnik V,1/14/2021,208724
ARG,Sputnik V,1/15/2021,226171
ARG,Sputnik V,1/16/2021,232056
ARG,Pfizer/BioNTech,1/17/2021,15
ARG,Sputnik V,1/17/2021,233118
ARG,Pfizer/BioNTech,1/18/2021,16
ARG,Sputnik V,1/18/2021,242950
ARG,CanSino,1/19/2021,1
ARG,Sinopharm/Beijing,1/19/2021,24
ARG,Sputnik V,1/19/2021,256204
ARG,Sputnik V,1/20/2021,275638
ARG,Oxford/AstraZeneca,1/21/2021,20
ARG,Sinopharm/Beijing,1/21/2021,26
ARG,Sputnik V,1/21/2021,289752
ARG,Oxford/AstraZeneca,1/22/2021,23
ARG,Sinopharm/Beijing,1/22/2021,27
ARG,Sputnik V,1/22/2021,298971
ARG,Oxford/AstraZeneca,1/23/2021,28
ARG,Sputnik V,1/23/2021,302916
ARG,Oxford/AstraZeneca,1/24/2021,29
ARG,Sputnik V,1/24/2021,303219
ARG,Oxford/AstraZeneca,1/25/2021,37
ARG,Sputnik V,1/25/2021,317431
ARG,Oxford/AstraZeneca,1/26/2021,75
ARG,Sinopharm/Beijing,1/26/2021,28
ARG,Sputnik V,1/26/2021,330209
ARG,Oxford/AstraZeneca,1/27/2021,77
ARG,Sputnik V,1/27/2021,340322
ARG,Oxford/AstraZeneca,1/28/2021,78
ARG,Sputnik V,1/28/2021,356371
ARG,Oxford/AstraZeneca,1/29/2021,79
ARG,Sputnik V,1/29/2021,379875
ARG,Sputnik V,1/30/2021,389190
ARG,CanSino,1/31/2021,2
ARG,Sinopharm/Beijing,1/31/2021,29
ARG,Sputnik V,1/31/2021,389813
ARG,Oxford/AstraZeneca,2/1/2021,98
ARG,Sinopharm/Beijing,2/1/2021,30
ARG,Sputnik V,2/1/2021,409329
ARG,Oxford/AstraZeneca,2/2/2021,131
ARG,Sputnik V,2/2/2021,433180
ARG,Oxford/AstraZeneca,2/3/2021,139
ARG,Sinopharm/Beijing,2/3/2021,33
ARG,Sputnik V,2/3/2021,459794
ARG,Moderna,2/4/2021,2
ARG,Oxford/AstraZeneca,2/4/2021,144
ARG,Sinopharm/Beijing,2/4/2021,56
ARG,Sputnik V,2/4/2021,487906
ARG,CanSino,2/5/2021,4
ARG,Oxford/AstraZeneca,2/5/2021,149
ARG,Sinopharm/Beijing,2/5/2021,63
ARG,Sputnik V,2/5/2021,520941
ARG,Sinopharm/Beijing,2/6/2021,68
ARG,Sputnik V,2/6/2021,531868
ARG,Oxford/AstraZeneca,2/7/2021,150
ARG,Sinopharm/Beijing,2/7/2021,72
ARG,Sputnik V,2/7/2021,533248
ARG,Oxford/AstraZeneca,2/8/2021,152
ARG,Sinopharm/Beijing,2/8/2021,73
ARG,Sputnik V,2/8/2021,556681
ARG,Moderna,2/9/2021,3
ARG,Oxford/AstraZeneca,2/9/2021,154
ARG,Sinopharm/Beijing,2/9/2021,79
ARG,Sputnik V,2/9/2021,576878
ARG,Oxford/AstraZeneca,2/10/2021,157
ARG,Sinopharm/Beijing,2/10/2021,84
ARG,Sputnik V,2/10/2021,592499
ARG,Oxford/AstraZeneca,2/11/2021,160
ARG,Sinopharm/Beijing,2/11/2021,90
ARG,Sputnik V,2/11/2021,610351
ARG,Oxford/AstraZeneca,2/12/2021,161
ARG,Sinopharm/Beijing,2/12/2021,91
ARG,Sputnik V,2/12/2021,626193
ARG,Oxford/AstraZeneca,2/13/2021,163
ARG,Sinopharm/Beijing,2/13/2021,93
ARG,Sputnik V,2/13/2021,629225
ARG,Sinopharm/Beijing,2/14/2021,95
ARG,Sputnik V,2/14/2021,629376
ARG,Pfizer/BioNTech,2/15/2021,17
ARG,Sinopharm/Beijing,2/15/2021,97
ARG,Sputnik V,2/15/2021,630691
ARG,Oxford/AstraZeneca,2/16/2021,175
ARG,Pfizer/BioNTech,2/16/2021,18
ARG,Sinopharm/Beijing,2/16/2021,99
ARG,Sputnik V,2/16/2021,631989
ARG,Oxford/AstraZeneca,2/17/2021,186
ARG,Sinopharm/Beijing,2/17/2021,102
ARG,Sputnik V,2/17/2021,656392
ARG,Oxford/AstraZeneca,2/18/2021,217
ARG,Pfizer/BioNTech,2/18/2021,19
ARG,Sinopharm/Beijing,2/18/2021,106
ARG,Sputnik V,2/18/2021,720204
ARG,Oxford/AstraZeneca,2/19/2021,407
ARG,Sinopharm/Beijing,2/19/2021,107
ARG,Sputnik V,2/19/2021,787925
ARG,Oxford/AstraZeneca,2/20/2021,555
ARG,Sinopharm/Beijing,2/20/2021,108
ARG,Sputnik V,2/20/2021,820400
ARG,Oxford/AstraZeneca,2/21/2021,956
ARG,Sputnik V,2/21/2021,840181
ARG,Oxford/AstraZeneca,2/22/2021,23563
ARG,Sputnik V,2/22/2021,885166
ARG,Oxford/AstraZeneca,2/23/2021,73776
ARG,Sinopharm/Beijing,2/23/2021,110
ARG,Sputnik V,2/23/2021,921934
ARG,Oxford/AstraZeneca,2/24/2021,135878
ARG,Sinopharm/Beijing,2/24/2021,113
ARG,Sputnik V,2/24/2021,953697
ARG,Oxford/AstraZeneca,2/25/2021,189056
ARG,Sinopharm/Beijing,2/25/2021,117
ARG,Sputnik V,2/25/2021,980015
ARG,Oxford/AstraZeneca,2/26/2021,245131
ARG,Sinopharm/Beijing,2/26/2021,126
ARG,Sputnik V,2/26/2021,1005657
ARG,Moderna,2/27/2021,4
ARG,Oxford/AstraZeneca,2/27/2021,258480
ARG,Sinopharm/Beijing,2/27/2021,127
ARG,Sputnik V,2/27/2021,1010217
ARG,Oxford/AstraZeneca,2/28/2021,263831
ARG,Sinopharm/Beijing,2/28/2021,128
ARG,Sputnik V,2/28/2021,1010994
ARG,Oxford/AstraZeneca,3/1/2021,317170
ARG,Sinopharm/Beijing,3/1/2021,830
ARG,Sputnik V,3/1/2021,1031541
ARG,Oxford/AstraZeneca,3/2/2021,368819
ARG,Sinopharm/Beijing,3/2/2021,5796
ARG,Sputnik V,3/2/2021,1050572
ARG,Oxford/AstraZeneca,3/3/2021,404821
ARG,Sinopharm/Beijing,3/3/2021,23632
ARG,Sputnik V,3/3/2021,1068266
ARG,Oxford/AstraZeneca,3/4/2021,430552
ARG,Sinopharm/Beijing,3/4/2021,87941
ARG,Sputnik V,3/4/2021,1090332
ARG,Oxford/AstraZeneca,3/5/2021,454853
ARG,Sinopharm/Beijing,3/5/2021,154460
ARG,Sputnik V,3/5/2021,1111279
ARG,Oxford/AstraZeneca,3/6/2021,462772
ARG,Sinopharm/Beijing,3/6/2021,196888
ARG,Sputnik V,3/6/2021,1115883
ARG,Oxford/AstraZeneca,3/7/2021,467748
ARG,Sinopharm/Beijing,3/7/2021,203333
ARG,Sputnik V,3/7/2021,1116260
ARG,Oxford/AstraZeneca,3/8/2021,499333
ARG,Pfizer/BioNTech,3/8/2021,20
ARG,Sinopharm/Beijing,3/8/2021,256286
ARG,Sputnik V,3/8/2021,1134246
ARG,Oxford/AstraZeneca,3/9/2021,515680
ARG,Sinopharm/Beijing,3/9/2021,319404
ARG,Sputnik V,3/9/2021,1170612
ARG,Oxford/AstraZeneca,3/10/2021,527769
ARG,Sinopharm/Beijing,3/10/2021,418154
ARG,Sputnik V,3/10/2021,1223791
ARG,Oxford/AstraZeneca,3/11/2021,537716
ARG,Sinopharm/Beijing,3/11/2021,503050
ARG,Sputnik V,3/11/2021,1315866
ARG,Oxford/AstraZeneca,3/12/2021,545240
ARG,Sinopharm/Beijing,3/12/2021,564202
ARG,Sputnik V,3/12/2021,1408890
ARG,Oxford/AstraZeneca,3/13/2021,548219
ARG,Sinopharm/Beijing,3/13/2021,574709
ARG,Sputnik V,3/13/2021,1441806
ARG,Oxford/AstraZeneca,3/14/2021,548268
ARG,Sinopharm/Beijing,3/14/2021,581367
ARG,Sputnik V,3/14/2021,1444273
ARG,Oxford/AstraZeneca,3/15/2021,554692
ARG,Sinopharm/Beijing,3/15/2021,621992
ARG,Sputnik V,3/15/2021,1534877
ARG,Oxford/AstraZeneca,3/16/2021,557812
ARG,Sinopharm/Beijing,3/16/2021,656673
ARG,Sputnik V,3/16/2021,1630838
ARG,Oxford/AstraZeneca,3/17/2021,560525
ARG,Sinopharm/Beijing,3/17/2021,679654
ARG,Sputnik V,3/17/2021,1744768
ARG,Moderna,3/18/2021,6
ARG,Oxford/AstraZeneca,3/18/2021,562214
ARG,Sinopharm/Beijing,3/18/2021,701807
ARG,Sputnik V,3/18/2021,1859911
ARG,Oxford/AstraZeneca,3/19/2021,564063
ARG,Pfizer/BioNTech,3/19/2021,21
ARG,Sinopharm/Beijing,3/19/2021,725416
ARG,Sputnik V,3/19/2021,1960678
ARG,Oxford/AstraZeneca,3/20/2021,564405
ARG,Sinopharm/Beijing,3/20/2021,729356
ARG,Sputnik V,3/20/2021,2007287
ARG,CanSino,3/21/2021,5
ARG,Oxford/AstraZeneca,3/21/2021,564428
ARG,Sinopharm/Beijing,3/21/2021,729705
ARG,Sputnik V,3/21/2021,2026550
ARG,Oxford/AstraZeneca,3/22/2021,565900
ARG,Sinopharm/Beijing,3/22/2021,747107
ARG,Sputnik V,3/22/2021,2090758
ARG,Oxford/AstraZeneca,3/23/2021,570590
ARG,Sinopharm/Beijing,3/23/2021,760667
ARG,Sputnik V,3/23/2021,2179016
ARG,Oxford/AstraZeneca,3/24/2021,571868
ARG,Sinopharm/Beijing,3/24/2021,763809
ARG,Sputnik V,3/24/2021,2212065
ARG,Oxford/AstraZeneca,3/25/2021,573224
