iso,age_group,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
ARG,100+,1/1/2020,0,0,0
ARG,12-17,1/1/2020,0,0,0
ARG,18-29,1/1/2020,0,0,0
ARG,3-11,1/1/2020,0,0,0
ARG,30-39,1/1/2020,0,0,0
ARG,40-49,1/1/2020,0,0,0
ARG,50-59,1/1/2020,0,0,0
ARG,60-69,1/1/2020,0,0,0
ARG,70-79,1/1/2020,0,0,0
ARG,80-89,1/1/2020,0,0,0
ARG,90-99,1/1/2020,0,0,0
ARG,100+,1/2/2020,0,0,0
ARG,12-17,1/2/2020,0,0,0
ARG,18-29,1/2/2020,0,0,0
ARG,3-11,1/2/2020,0,0,0
ARG,30-39,1/2/2020,0,0,0
ARG,40-49,1/2/2020,0,0,0
ARG,50-59,1/2/2020,0,0,0
ARG,60-69,1/2/2020,0,0,0
ARG,70-79,1/2/2020,0,0,0
ARG,80-89,1/2/2020,0,0,0
ARG,90-99,1/2/2020,0,0,0
ARG,100+,1/3/2020,0,0,0
ARG,12-17,1/3/2020,0,0,0
ARG,18-29,1/3/2020,0,0,0
ARG,3-11,1/3/2020,0,0,0
ARG,30-39,1/3/2020,0,0,0
ARG,40-49,1/3/2020,0,0,0
ARG,50-59,1/3/2020,0,0,0
ARG,60-69,1/3/2020,0,0,0
ARG,70-79,1/3/2020,0,0,0
ARG,80-89,1/3/2020,0,0,0
ARG,90-99,1/3/2020,0,0,0
ARG,100+,1/4/2020,0,0,0
ARG,12-17,1/4/2020,0,0,0
ARG,18-29,1/4/2020,0,0,0
ARG,3-11,1/4/2020,0,0,0
ARG,30-39,1/4/2020,0,0,0
ARG,40-49,1/4/2020,0,0,0
ARG,50-59,1/4/2020,0,0,0
ARG,60-69,1/4/2020,0,0,0
ARG,70-79,1/4/2020,0,0,0
ARG,80-89,1/4/2020,0,0,0
ARG,90-99,1/4/2020,0,0,0
ARG,100+,1/5/2020,0,0,0
ARG,12-17,1/5/2020,0,0,0
ARG,18-29,1/5/2020,0,0,0
ARG,3-11,1/5/2020,0,0,0
ARG,30-39,1/5/2020,0,0,0
ARG,40-49,1/5/2020,0,0,0
ARG,50-59,1/5/2020,0,0,0
ARG,60-69,1/5/2020,0,0,0
ARG,70-79,1/5/2020,0,0,0
ARG,80-89,1/5/2020,0,0,0
ARG,90-99,1/5/2020,0,0,0
ARG,100+,1/6/2020,0,0,0
ARG,12-17,1/6/2020,0,0,0
ARG,18-29,1/6/2020,0,0,0
