iso_code,source_website,last_observation_date
AFG,https://covid19.who.int/,9/26/2023
ALB,https://covid19.who.int/,7/16/2023
DZA,https://covid19.who.int/,9/4/2022
AND,https://covid19.who.int/,8/6/2023
AGO,https://covid19.who.int/,9/17/2023
AIA,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,3/17/2023
ATG,https://covid19.who.int/,9/16/2022
ARG,https://covidstats.com.ar/,10/11/2023
ARM,https://covid19.who.int/,9/3/2023
ABW,https://www.government.aw,10/12/2023
AUS,https://covid19.who.int/,3/24/2023
AUT,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,6/30/2023
AZE,https://koronavirusinfo.az,8/28/2022
BHS,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,5/12/2023
BHR,https://covid19.who.int/,12/21/2022
BGD,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php,10/12/2023
BRB,https://covid19.who.int/,6/2/2023
BLR,https://covid19.who.int/,8/13/2023
BEL,https://epistat.wiv-isp.be/covid/,9/24/2023
BLZ,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,5/12/2023
BEN,https://covid19.who.int/,12/18/2022
BMU,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,7/8/2022
BTN,https://covid19.who.int/,10/30/2022
BOL,https://github.com/dquintani/vacunacion/,10/7/2022
BES,https://www.rivm.nl/sites/default/files/2021-09/COVID-19_website_rapport_eilanden_engels_35_20210902_1409.pdf,9/1/2021
BIH,https://covid19.who.int/,1/29/2022
BWA,https://covid19.who.int/,5/7/2023
BRA,https://coronavirusbra1.github.io,3/22/2023
VGB,https://covid19.who.int/,9/16/2022
BRN,https://covid19.who.int/,6/30/2023
BGR,https://coronavirus.bg/bg/statistika,10/12/2023
BFA,https://covid19.who.int/,7/23/2023
BDI,https://covid19.who.int/,8/27/2023
KHM,https://covid19.who.int/,9/7/2023
CMR,https://covid19.who.int/,9/17/2023
CAN,https://covid19tracker.ca/vaccinationtracker.html,2/2/2023
CPV,https://covid19.who.int/,9/25/2022
CYM,https://covid19.who.int/,4/21/2023
CAF,https://covid19.who.int/,9/3/2023
TCD,https://covid19.who.int/,8/13/2023
CHL,https://github.com/MinCiencia/Datos-COVID19,2/8/2023
CHN,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_13141/202302/t20230211_263697.html,2/9/2023
COL,https://covid19.who.int/,4/7/2023
COM,https://covid19.who.int/,10/2/2022
COG,https://covid19.who.int/,7/31/2022
COK,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2/13/2023
CRI,https://covid19.who.int/,6/2/2023
CIV,https://covid19.who.int/,2/19/2023
HRV,https://www.koronavirus.hr,10/10/2023
CUB,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,9/8/2023
CUW,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,5/12/2023
CYP,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5,2/22/2023
CZE,https://onemocneni-aktualne.mzcr.cz/covid-19,9/16/2023
COD,https://covid19.who.int/,6/4/2023
DNK,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,9/1/2023
