Country Name (CN),Total Vaccinations (administered to date),Daily Vaccinations,Date
Africa,9662897,240212,3/24/2021
Africa,9963609,265363,3/25/2021
Africa,10243010,283399,3/26/2021
Africa,10569450,296831,3/27/2021
Africa,10828299,308129,3/28/2021
Africa,11049274,321220,3/29/2021
Africa,11258101,338221,3/30/2021
Africa,11740126,325014,3/31/2021
Africa,11998927,317673,4/1/2021
Africa,12152691,301462,4/2/2021
Africa,12287930,293039,4/3/2021
Africa,12358328,287474,4/4/2021
Africa,12513077,279834,4/5/2021
Africa,12855344,270236,4/6/2021
Africa,13239167,262716,4/7/2021
Africa,13971563,261256,4/8/2021
Africa,14133332,292457,4/9/2021
Africa,14294014,294100,4/10/2021
Africa,14443400,291807,4/11/2021
Africa,14556217,292945,4/12/2021
Africa,14672270,284888,4/13/2021
Africa,15020120,280168,4/14/2021
Africa,15155704,265885,4/15/2021
Africa,15364125,267243,4/16/2021
Africa,15662618,267653,4/17/2021
Africa,16232840,270563,4/18/2021
Africa,16446194,266512,4/19/2021
Africa,16612501,264002,4/20/2021
Africa,16836983,259851,4/21/2021
Africa,16922542,254219,4/22/2021
Africa,17108695,243782,4/23/2021
Africa,17182183,233119,4/24/2021
Africa,17261247,231325,4/25/2021
Africa,17360331,230025,4/26/2021
Africa,17529567,240915,4/27/2021
Africa,18594720,263135,4/28/2021
Africa,18720069,268593,4/29/2021
Africa,18871289,267984,4/30/2021
Africa,18999232,266432,5/1/2021
Africa,19055923,266478,5/2/2021
Africa,19241498,271166,5/3/2021
Africa,19561707,284796,5/4/2021
Africa,19832948,276189,5/5/2021
Africa,19992519,284153,5/6/2021
Africa,20600628,345109,5/7/2021
Africa,20852773,360157,5/8/2021
Africa,21582244,379652,5/9/2021
Africa,22056398,393436,5/10/2021
Africa,22507781,401362,5/11/2021
Africa,23604403,406939,5/12/2021
Africa,23804271,404600,5/13/2021
Africa,24019530,350222,5/14/2021
Africa,24337750,370322,5/15/2021
Africa,24431159,378950,5/16/2021
Africa,24898124,391159,5/17/2021
Africa,25674058,416792,5/18/2021
Africa,26265707,463617,5/19/2021
Africa,26704991,518121,5/20/2021
Africa,27483211,572262,5/21/2021
Africa,28308289,574398,5/22/2021
Africa,28533367,577751,5/23/2021
Africa,29053569,584507,5/24/2021
Africa,29752614,613143,5/25/2021
Africa,30115473,597591,5/26/2021
Africa,30326252,594508,5/27/2021
Africa,30507581,587591,5/28/2021
Africa,31088375,595143,5/29/2021
Africa,31359746,604747,5/30/2021
Africa,33358486,614697,5/31/2021
Africa,34152144,580875,6/1/2021
Africa,34624515,581057,6/2/2021
Africa,35087411,590077,6/3/2021
Africa,35335184,566606,6/4/2021
Africa,35526997,543351,6/5/2021
Africa,35768603,539062,6/6/2021
Africa,36351683,537521,6/7/2021
Africa,37446289,567452,6/8/2021
Africa,38477704,580077,6/9/2021
Africa,39079564,571357,6/10/2021
Africa,39452610,594018,6/11/2021
Africa,39755251,593389,6/12/2021
Africa,39825600,596588,6/13/2021
Africa,40686985,598047,6/14/2021
Africa,41665290,566265,6/15/2021
Africa,41984781,531760,6/16/2021
Africa,42368262,527557,6/17/2021
Africa,42709734,521648,6/18/2021
Africa,42831406,523113,6/19/2021
Africa,43495428,538700,6/20/2021
Africa,44217795,547553,6/21/2021
Africa,44333117,539790,6/22/2021
Africa,44931889,547936,6/23/2021
Africa,46268583,541432,6/24/2021
Africa,46633964,545146,6/25/2021
Africa,46817755,544953,6/26/2021
Africa,47101481,527440,6/27/2021
Africa,47958318,496989,6/28/2021
Africa,48220285,498247,6/29/2021
Africa,48742286,509971,6/30/2021
Africa,49033079,508052,7/1/2021
Africa,49189174,487302,7/2/2021
Africa,49432211,488470,7/3/2021
Africa,49777908,478722,7/4/2021
Africa,50798363,491491,7/5/2021
Africa,51223871,477476,7/6/2021
Africa,51504403,469628,7/7/2021
Africa,52515713,467376,7/8/2021
Africa,52832807,484970,7/9/2021
Africa,52939219,483451,7/10/2021
Africa,53037492,483086,7/11/2021
Africa,54614122,515686,7/12/2021
Africa,55209086,552839,7/13/2021
Africa,55510571,584417,7/14/2021
Africa,56771090,660068,7/15/2021
Africa,56885077,625139,7/16/2021
Africa,57067536,617820,7/17/2021
Africa,57332426,596825,7/18/2021
Africa,58667504,600288,7/19/2021
Africa,59046131,577708,7/20/2021
Africa,59127670,563646,7/21/2021
Africa,60330841,513218,7/22/2021
Africa,60759058,545552,7/23/2021
Africa,61008425,542909,7/24/2021
Africa,61723633,551667,7/25/2021
Africa,62347895,574570,7/26/2021
Africa,63615674,647781,7/27/2021
Africa,64342167,715252,7/28/2021
Africa,65630639,777189,7/29/2021
Africa,66064449,794759,7/30/2021
Africa,66231599,824466,7/31/2021
Africa,66558888,838949,8/1/2021
Africa,67556671,814002,8/2/2021
Africa,69846576,916450,8/3/2021
Africa,70158070,872695,8/4/2021
Africa,71194806,825559,8/5/2021
Africa,71589323,856456,8/6/2021
Africa,72374345,878436,8/7/2021
Africa,73339120,904178,8/8/2021
Africa,75188781,965773,8/9/2021
Africa,75892085,806996,8/10/2021
Africa,76453784,854668,8/11/2021
Africa,78118410,922843,8/12/2021
Africa,79122013,923126,8/13/2021
Africa,79422907,918422,8/14/2021
Africa,79820401,952008,8/15/2021
Africa,82609043,997289,8/16/2021
Africa,83417684,1125883,8/17/2021
Africa,84970101,1177170,8/18/2021
Africa,86740804,1217317,8/19/2021
Africa,92350478,1257336,8/20/2021
Africa,92616781,1335827,8/21/2021
Africa,93083690,1346043,8/22/2021
Africa,94403905,1386487,8/23/2021
Africa,95540668,1424049,8/24/2021
Africa,98769882,1447987,8/25/2021
Africa,99002199,1476806,8/26/2021
Africa,102286029,1567715,8/27/2021
Africa,102934190,1550725,8/28/2021
Africa,104654996,1677898,8/29/2021
Africa,105328118,1632042,8/30/2021
Africa,106788814,1578006,8/31/2021
Africa,109212384,1558105,9/1/2021
Africa,109620093,1514336,9/2/2021
Africa,110222501,1438783,9/3/2021
Africa,114656943,1515611,9/4/2021
Africa,117056181,1416575,9/5/2021
Africa,118596005,1502175,9/6/2021
Africa,119255044,1445017,9/7/2021
Africa,119830906,1377452,9/8/2021
Africa,121312709,1383488,9/9/2021
Africa,122815822,1498170,9/10/2021
Africa,123953397,1561316,9/11/2021
Africa,125626928,1600530,9/12/2021
Africa,126203992,1503922,9/13/2021
Africa,129067120,1542168,9/14/2021
Africa,131255528,1551227,9/15/2021
Africa,132832317,1654052,9/16/2021
Africa,133154625,1546846,9/17/2021
Africa,133669180,1441724,9/18/2021
Africa,136357825,1435239,9/19/2021
Africa,137604826,1462135,9/20/2021
Africa,138336738,1482049,9/21/2021
Africa,141265747,1532560,9/22/2021
Africa,143441075,1449769,9/23/2021
Africa,143833037,1443079,9/24/2021
Africa,146290298,1434685,9/25/2021
Africa,147160637,1446666,9/26/2021
Africa,150553320,1454450,9/27/2021
Africa,151632732,1430923,9/28/2021
Africa,152019978,1392731,9/29/2021
Africa,153964573,1335189,9/30/2021
Africa,154355470,1347603,10/1/2021
Africa,155445091,1359443,10/2/2021
Africa,156058112,1326229,10/3/2021
Africa,156156170,1295432,10/4/2021
Africa,156848699,1301561,10/5/2021
Africa,158425560,1339312,10/6/2021
Africa,160388564,1350119,10/7/2021
Africa,165032376,1333416,10/8/2021
Africa,166467933,1308157,10/9/2021
Africa,166822225,1305849,10/10/2021
Africa,167455870,1313230,10/11/2021
Africa,167953825,1347968,10/12/2021
Africa,169881187,1377279,10/13/2021
Africa,171829164,1393616,10/14/2021
Africa,173262062,1459311,10/15/2021
Africa,173355675,1509010,10/16/2021
Africa,177422320,1554587,10/17/2021
Africa,179009495,1584943,10/18/2021
Africa,180162616,1573967,10/19/2021
Africa,181450140,1547494,10/20/2021
Africa,184054590,1548003,10/21/2021
Africa,184433060,1544280,10/22/2021
Africa,187793558,1545229,10/23/2021
Africa,189917198,1537386,10/24/2021
Africa,190406216,1602673,10/25/2021
Africa,192050405,1676133,10/26/2021
Africa,192425080,1691981,10/27/2021
Africa,194819667,1713227,10/28/2021
Africa,199542343,1727218,10/29/2021
Africa,200779873,1750228,10/30/2021
Africa,202832854,1752229,10/31/2021
Africa,204248022,1668533,11/1/2021
Africa,205581456,1574196,11/2/2021
Africa,206109268,1532248,11/3/2021
Africa,208954096,1500575,11/4/2021
Africa,209234149,1443183,11/5/2021
Africa,211347443,1385441,11/6/2021
Africa,212119285,1422880,11/7/2021
Africa,212704513,1471791,11/8/2021
