Country,Source Name (URL),Biggest total Administered Vaccines
Malta,COVID-19 Malta Public Health Response Team,1415366
Turkey,COVID-19 Vaccine Information Platform,152543341
United States,Centers for Disease Control and Prevention,621368360
Bangladesh,Directorate General of Health Services,362256146
Iceland,Directorate of Health,850505
Austria,European CDC,18989102
Denmark,European CDC,13090694
Netherlands,European CDC,33807919
Portugal,European CDC,25754356
Italy,Extraordinary commissioner for the Covid-19 emergency,146638271
Liechtenstein,Federal Office of Public Health,48858
Switzerland,Federal Office of Public Health,10982749
Finland,Finnish Institute for Health and Welfare,13140217
Hong Kong,Food and Health Bureau,20847194
Aruba,Government of Aruba,174823
Azerbaijan,Government of Azerbaijan,13598200
Gibraltar,Government of Gibraltar,132810
Greenland,Government of Greenland,79738
Guernsey,Government of Guernsey,176272
Hungary,Government of Hungary,16945044
India,Government of India,2206745599
Israel,Government of Israel,18649248
Jersey,Government of Jersey,239909
Kazakhstan,Government of Kazakhstan,21487164
Macao,Government of Macao,1802985
Malaysia,Government of Malaysia,72826671
Montenegro,Government of Montenegro,679171
Saint Helena,Government of Saint Helena,7892
Serbia,Government of Serbia,8534685
Singapore,Government of Singapore,14671730
Suriname,Government of Suriname,554588
Thailand,Government of Thailand,142635014
Faeroe Islands,Government of the Faeroe Islands,103894
Falkland Islands,Government of the Falkland Islands,4407
England,Government of the United Kingdom,156954804
Northern Ireland,Government of the United Kingdom,5026281
Scotland,Government of the United Kingdom,12428551
United Kingdom,Government of the United Kingdom,144926851
Wales,Government of the United Kingdom,9133986
Ireland,Heath Service Executive,11366868
Isle of Man,Isle of Man Government,189994
South Korea,Korea Centers for Disease Control and Prevention,130438341
Peru,Ministerio de Salud via github.com/jmcastagnetto/covid-19-peru-vacunas,90818397
Argentina,Ministry of Health,113592001
Bulgaria,Ministry of Health,2830334
Croatia,Ministry of Health,4573665
Cuba,Ministry of Health,29573087
Cyprus,Ministry of Health,1798610
Czechia,Ministry of Health,19038030
El Salvador,Ministry of Health,11289175
Greece,Ministry of Health,22707894
Jamaica,Ministry of Health,1665970
Kosovo,Ministry of Health,1837446
Kyrgyzstan,Ministry of Health,3142557
Lithuania,Ministry of Health,4782257
New Zealand,Ministry of Health,12052315
Northern Cyprus,Ministry of Health,640588
Poland,Ministry of Health,60918063
Slovakia,Ministry of Health,5857754
Spain,Ministry of Health,108649639
Trinidad and Tobago,Ministry of Health,1639105
Zimbabwe,Ministry of Health,12222754
Bolivia,Ministry of Health via https://www.boligrafica.com/,15689182
Mongolia,Ministry of Health via ikon.mn,5491917
Uruguay,Ministry of Health via vacuna.uy,9035373
Chile,"Ministry of Health, via Ministry of Science GitHub repository",63263563
Dominican Republic,Ministry of Public Health,16033224
Georgia,National Center for Disease Control and Public Health,2930677
Monaco,National Council,65140
Estonia,National Health Board,2333840
China,National Health Commission,3413965000
Latvia,National Health Service,3181722
Slovenia,National Institute of Public Health via covid-19.sledilnik.org,3145994
Norway,Norwegian Institute of Public Health,12145560
Russia,Official data from local governments via gogov.ru,188931273
Canada,Official data from provinces via covid19tracker.ca,96956502
Japan,Prime Minister's Office,383747738
Sweden,Public Health Agency of Sweden,25205757
France,Public Health France,155575698
Germany,Robert Koch Institut,193231147
Cook Islands,SPC Public Health Division,40080
Fiji,SPC Public Health Division,1525265
French Polynesia,SPC Public Health Division,489948
Kiribati,SPC Public Health Division,219980
Nauru,SPC Public Health Division,32157
New Caledonia,SPC Public Health Division,480702
Papua New Guinea,SPC Public Health Division,737695
Pitcairn,SPC Public Health Division,117
Samoa,SPC Public Health Division,451625
Solomon Islands,SPC Public Health Division,625956
Tokelau,SPC Public Health Division,5374
Tonga,SPC Public Health Division,203208
Vanuatu,SPC Public Health Division,366571
Wallis and Futuna,SPC Public Health Division,17719
Belgium,Sciensano,30136767
Brazil,State governments via coronavirusbra1.github.io,492196204
Taiwan,Taiwan Centers for Disease Control,68158988
Afghanistan,World Health Organization,38118025
Albania,World Health Organization,3030148
Algeria,World Health Organization,14896968
Andorra,World Health Organization,154483
Angola,World Health Organization,28695699
Anguilla,World Health Organization,24233
