Name,PlaceID,Address,Rating,Author,Review
The Quarter,ChIJzRa1FbRC1moR01tSbLByQ8s,"27-31 Degraves St, Melbourne",4.3,Radinsa Dharmadasa,Food was really nice and the staff were lovely. We got the pork belly and lamb ribs for main and the tiramisu and mudcake for dessert. A thing to note is the dessert portion sizes are massive so you can definitely share one between people. My mum and I got one each and ended up taking half of both home.
The Quarter,ChIJzRa1FbRC1moR01tSbLByQ8s,"27-31 Degraves St, Melbourne",4.3,Cass C,"With so many options in Degraves, I decided to try The Quarter, but unfortunately, it didn’t quite live up to expectations. I ordered the pulled pork eggs Benedict and the New York bagel, but both dishes were missing key elements. The eggs Benedict was supposed to come with crunchy crackling, which was absent, and the New York bagel didn’t have the mayo as advertised on the menu.

On the bright side, the eggs were cooked well, and the Hollandaise sauce was tasty. However, the service left something to be desired—although our waiter was good the service from the food runners felt a bit abrupt, which added to the overall disappointment.

With so many great spots nearby, I might explore other options next time."
The Quarter,ChIJzRa1FbRC1moR01tSbLByQ8s,"27-31 Degraves St, Melbourne",4.3,Parttimepiggy,"One thing I love about Melbourne is the hidden laneway gems like these ⭐️ you have to check this place out if you haven’t already!

What we ordered:
🍃 Zucchini Flowers $26
🤍 Scallops Linguine $34.50
🍅 Rigatoni all'Amatriciana $27
🤎 Tiramisu $16.50

The food and the ambience here makes for the perfect hang out spot whether you're having a date night or catching up with friends & family. They even had live music on when we visited on a Thursday evening and it was such a vibe!

Onto the food, everything we ate was yum but my favourite dish was definitely the rigatoni. I'm not normally a big fan of tomato / red sauce base pastas but wow this one was sensational. The pasta was perfectly al dente and the bits of pancetta were pan fried to perfection.

Also if you come here make sure to leave some room for their dessert! I was pleasantly surprised at how big the tiramisu serving was and it was soooo delicious. I like that it wasn’t overly sweet and it was actually the perfect size to share between two.

You can find this charming restaurant on Degraves Street which is just a two minute walk away from Flinders Street Station."
The Quarter,ChIJzRa1FbRC1moR01tSbLByQ8s,"27-31 Degraves St, Melbourne",4.3,Rhys G,"Beautiful cafe, well designed. The atmosphere is perfect. The staff and their attention to their customers is exceptional and the food is 10/10. I highly recommend the ""Quarter Eggs Benny"". The pulled pork is exceptional."
The Quarter,ChIJzRa1FbRC1moR01tSbLByQ8s,"27-31 Degraves St, Melbourne",4.3,Vivian William,The chorizo omelette was delicious. Eggs benedict was also very unique and tasty. Coffee was nice. Good little cafe for brunch.
Manchester Press,ChIJg1wLO7VC1moRrzObM92WgkU,"8 Rankins Ln, Melbourne",4.3,Amy (thehungrymelbgirl),"Nestled deep inside Rankins Ln, Manchester Press draws a consistent crowd with its bagels and warehouse vibes.

The last time I dined here was 7 years ago. The chorizo bagel I had back then was well put together and very tasty. The lack of customer service was, however, quite off-putting.

We recently tried Manchester Press again, and we can't fault the warm staff at all. Unfortunately, it was the food that didn't quite hit the mark this time.

We ordered the Bacon and Maple Bagel ($24.50), which on paper sounds like the perfect combination of sweet and savoury. However, it was actually quite difficult to get all the flavours together as it was quite textural. We also weren't sure whether the blueberry bagel was the best flavour to compliment this creation.

We fared a bit better with the Philly Steak Bagel ($23.80), although the chef may have gone a bit overboard with the chipotle mayo and the overall result was not that aesthetically pleasing.

Hojicha Latte ($6.50) is on its current special menu for those wanting to try something different.

It was overall a slightly underwhelming experience, but I am hoping it was only because we went on a bad day..."
Manchester Press,ChIJg1wLO7VC1moRrzObM92WgkU,"8 Rankins Ln, Melbourne",4.3,Pauline,"It’s been many years since I visited Manchester Press.

🥯🫐 I’ve had very fond memories of their blueberry bagel served with the best mascarpone cream mixed with berries and pistachio, so I decided to visit them again after at least 5 years. It most definitely did not disappoint even though the way they whip the cream is now a little different.

I highly recommend the mixed berry bagel if you want a sweet brunch.

🍳 We also had their Egg Benedict and it was superb with a generous serving of bacon.

🍯 Another bagel we tried was their honey ricotta toast, I would have preferred they served a bigger portion of ricotta rather than thinly spread it on the bagel. I wouldn’t mind paying more for it too. I suppose this highlights the bagel rather than the topping."
Manchester Press,ChIJg1wLO7VC1moRrzObM92WgkU,"8 Rankins Ln, Melbourne",4.3,Emily Holm,"This place used to be one of the *it* places in Melbourne. And now…. It’s fine?
Our coffee was still pretty good actually. But our bagels didn’t look or taste nearly as exciting and they used to.
Don’t get me wrong… they were absolutely fine. Just nothing special. The smoked salmon looks unhappy and tasted like supermarket salmon, and the blueberries were sparing.
There was nothing super wrong, but also nothing super right."
Manchester Press,ChIJg1wLO7VC1moRrzObM92WgkU,"8 Rankins Ln, Melbourne",4.3,Ariaan,Service and atmosphere is amazing here! Staff is always so friendly and it’s so cozy inside. I ordered an oat mocha and ham and cheese toasted sandwich takeaway. Oat mocha tasted bland and watery. Toasted sandwich was crunchy and buttery however there wasn’t a lot of cheese and the ham was very salty. The other sandwiches on their menu look amazing though so definitely recommend trying one of those instead! Bagels looked delicious!
Manchester Press,ChIJg1wLO7VC1moRrzObM92WgkU,"8 Rankins Ln, Melbourne",4.3,Cindy Ramli Chang,"Brunch date with the one and only on our wedding anniversary day ❤️
That day I decided that I do not like bagels 🤣
The sandwich was beautiful
Bagels topping was good but I just figured that I do not like that texture. So dense 🤣
But apparently “Good bagels are denser than most bread,”
Well guess I just don’t like it 🙈

The place was buzzing with people enjoying their food. Young, old, kids, adult, they all enjoying the vibes there.
Will come back for more sandwiches 😁

#bulgogi_n_rendang"
Proud Mary Coffee,ChIJQZ-aOeBC1moRuuo3eAh3hGE,"172 Oxford St, Collingwood",4.5,Siren (Siren),"Great little Cafe with a warm vibe. It feels full but you always have space to move and feel comfortable. The decor adds to this
Food was fast and delicious. The Hash just needed a touch more salt."
Proud Mary Coffee,ChIJQZ-aOeBC1moRuuo3eAh3hGE,"172 Oxford St, Collingwood",4.5,manooch,"If you want to have different experiences with morning coffee definitely you need to get there and get them a go. They have got a specific menu just for coffee that brings you knowledge about the variety of coffee beans.  Also, they got delicious breakfast and very helpful staff."
